연번,업종명,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
2861,일반음식점,고향숯불막창외도점,제주특별자치도 제주시 우령2길 30 (외도일동),제주특별자치도 제주시 외도일동 549번지 8호 ,32.34,,한식
2862,일반음식점,열열이얼큰이외도점,제주특별자치도 제주시 우령2길 30 (외도일동),제주특별자치도 제주시 외도일동 549번지 8호 ,78.63,,호프/통닭
2863,일반음식점,성춘,제주특별자치도 제주시 성지로 68 (일도이동(성지로 112)),제주특별자치도 제주시 일도이동 1028번지 53호 (성지로 112) ,42.68,064-753-0528,한식
2864,일반음식점,초풍돈,제주특별자치도 제주시 월랑북길 30 1층 (노형동),제주특별자치도 제주시 노형동 1036번지 1호 ,79.07,064-747-2350,한식
2865,일반음식점,간또,제주특별자치도 제주시 연동7길 19 (연동(운남5로 23)),제주특별자치도 제주시 연동 272번지 35호 (운남5로 23) ,29.89,064-744-2374,호프/통닭
2866,일반음식점,선희네국수,제주특별자치도 제주시 일주동로 390 (삼양이동),제주특별자치도 제주시 삼양이동 2181번지 11호 ,93,064-756-6073,한식
2867,일반음식점,홍게나라무한리필,제주특별자치도 제주시 연북로 166 1~2층 (연동),제주특별자치도 제주시 연동 444번지 1호 12층 ,251.68,064-749-6663,한식
2868,일반음식점,어우늘,제주특별자치도 제주시 연북로 222 1층 (오라이동),제주특별자치도 제주시 오라이동 3103번지 1호 ,386.87,064-743-5131,한식
2869,일반음식점,빨간맛집일도점,제주특별자치도 제주시 고마로 108 (일도이동),제주특별자치도 제주시 일도이동 392번지 16호 ,67.25,064-702-8040,호프/통닭
2870,일반음식점,모이자,제주특별자치도 제주시 신성로 37 (도남동),제주특별자치도 제주시 도남동 905번지 28호 ,65.76,064-702-8181,호프/통닭
2871,일반음식점,일루와술밥,제주특별자치도 제주시 삼무로3길 44 (연동),제주특별자치도 제주시 연동 271번지 31호 ,45.75,064-747-4645,한식
2872,일반음식점,달빛주막,제주특별자치도 제주시 정존9길 37 (노형동),제주특별자치도 제주시 노형동 2519번지 24호 효성빌라 ,28.14,,호프/통닭
2873,일반음식점,이츠지직스,제주특별자치도 제주시 서광로32길 16 (이도이동),제주특별자치도 제주시 이도이동 1769번지 1호 ,75.84,064-727-1400,호프/통닭
2874,일반음식점,투다리월드점,제주특별자치도 제주시 제원길 14 (연동),제주특별자치도 제주시 연동 261번지 39호 ,50.81,064-713-1670,호프/통닭
2875,일반음식점,대학로칼시청점,제주특별자치도 제주시 서광로32길 32 (이도이동),제주특별자치도 제주시 이도이동 1765번지 9호 ,142.02,064-751-1550,한식
2876,일반음식점,돈사돈,제주특별자치도 제주시 우평로 19 1층 (노형동),제주특별자치도 제주시 노형동 3086번지 3호 ,201.58,064-746-8989,식육(숯불구이)
2877,일반음식점,촐흙,제주특별자치도 제주시 신광로 45 (연동),제주특별자치도 제주시 연동 272번지 19호 ,38.12,064-746-6687,호프/통닭
2878,일반음식점,오빠,제주특별자치도 제주시 중앙로 243 지하1층 (이도이동),제주특별자치도 제주시 이도이동 1180번지 24호 지하1 ,118.84,064-759-7325,까페
2879,일반음식점,정순화손두부,제주특별자치도 제주시 조천읍 일주동로 1415,제주특별자치도 제주시 조천읍 북촌리 1586번지 1호 ,137.7,064-783-4900,한식
2880,일반음식점,서울식당,제주특별자치도 제주시 조천읍 함덕13길 5,제주특별자치도 제주시 조천읍 함덕리 1002번지 24호 ,142.16,064-783-8170,한식
2881,일반음식점,클럽하우스,,제주특별자치도 제주시 애월읍 봉성리 산 5-2번지 산44산46 ,467.85,064-793-0703,기타
2882,일반음식점,스타트하우스,,제주특별자치도 제주시 애월읍 봉성리 산 5-5번지 산5-6 ,156.42,064-793-0707,기타
2883,일반음식점,티하우스-1,,제주특별자치도 제주시 애월읍 봉성리 산 29번지 ,111.34,064-793-0703,기타
2884,일반음식점,티하우스-2,,제주특별자치도 제주시 애월읍 봉성리 산 5-7번지 ,130.64,064-793-0703,기타
2885,일반음식점,다시버시,제주특별자치도 제주시 구좌읍 해맞이해안로 1406,제주특별자치도 제주시 구좌읍 세화리 1500번지 3호 ,80.36,064-782-1365,한식
2886,일반음식점,티하우스-3,,제주특별자치도 제주시 애월읍 봉성리 산 46번지 ,139.15,064-793-0703,기타
2887,일반음식점,교래삼복가든,제주특별자치도 제주시 조천읍 비자림로 653,제주특별자치도 제주시 조천읍 교래리 481번지 4호 ,51.3,,한식
2888,일반음식점,미듬포장마차,제주특별자치도 제주시 조천읍 신북로 252-1,제주특별자치도 제주시 조천읍 조천리 2345번지 7호 ,26.46,064-784-9646,한식
2889,일반음식점,한경가든,제주특별자치도 제주시 한경면 용고로 154,제주특별자치도 제주시 한경면 고산리 2674번지 ,175.62,064-772-1233,한식
2890,일반음식점,가자고산,제주특별자치도 제주시 한경면 용고로 76,제주특별자치도 제주시 한경면 고산리 2919번지 14호 ,99.84,064-773-1310,한식
2891,일반음식점,클럽하우스 레스토랑,,제주특별자치도 제주시 한림읍 금악리 산 54번지 ,357.96,064-795-2181,한식
2892,일반음식점,부가네얼큰이세화점,제주특별자치도 제주시 구좌읍 세화1길 20-17,제주특별자치도 제주시 구좌읍 세화리 3643번지 16호 ,59.4,064-783-9245,통닭(치킨)
2893,일반음식점,북코스 그늘집,,제주특별자치도 제주시 한림읍 금악리 산 54번지 ,52.19,064-796-9988,기타
2894,일반음식점,남코스그늘집,,제주특별자치도 제주시 한림읍 금악리 산 67번지 1호 ,56.95,064-796-9988,기타
2895,일반음식점,에이치쓰리,제주특별자치도 제주시 한림읍 금능남1길 6-1,제주특별자치도 제주시 한림읍 금능리 1258번지 ,118.4,064-796-5000,한식
2896,일반음식점,고내시닛물,제주특별자치도 제주시 애월읍 애월해안로 176 1층,제주특별자치도 제주시 애월읍 고내리 1238번지 8호 1239-1 1240 1240-4 1240-8 ,135.36,064-799-1558,식육(숯불구이)
2897,일반음식점,봉성식당,제주특별자치도 제주시 애월읍 봉성로 66 1층,제주특별자치도 제주시 애월읍 봉성리 4124번지 1호 ,67.67,064-799-0011,한식
2898,일반음식점,소섬바라기,제주특별자치도 제주시 우도면 우도해안길 248 1층,제주특별자치도 제주시 우도면 연평리 2516번지 ,18.25,064-784-0732,분식
2899,일반음식점,우도자연,제주특별자치도 제주시 우도면 우도해안길 602,제주특별자치도 제주시 우도면 연평리 797번지 ,250,064-784-9911,회집
2900,일반음식점,비비큐하귀애월점,제주특별자치도 제주시 애월읍 애월해안로 991 1층,제주특별자치도 제주시 애월읍 하귀2리 1863번지 ,129.74,,통닭(치킨)
2901,일반음식점,서울명동칼국수,제주특별자치도 제주시 조천읍 일주동로 780,제주특별자치도 제주시 조천읍 신촌리 646번지 1호 ,40,064-782-0024,한식
2902,일반음식점,곽지해녀의집,제주특별자치도 제주시 애월읍 곽지11길 27,제주특별자치도 제주시 애월읍 곽지리 1565번지 35호 ,122.64,,한식
2903,일반음식점,한림바다생태체험마을,제주특별자치도 제주시 한림읍 한림해안로 200,제주특별자치도 제주시 한림읍 한수리 879번지 30호 ,400.95,064-796-1817,일식
2904,일반음식점,먹거리,제주특별자치도 제주시 애월읍 하귀로23길 1,제주특별자치도 제주시 애월읍 하귀2리 1884번지 3호 ,25.39,064-713-5606,한식
2905,일반음식점,오션베스트빌구내,제주특별자치도 제주시 조천읍 조함해안로 221,제주특별자치도 제주시 조천읍 신흥리 791번지 ,109.32,064-784-1313,한식
2906,일반음식점,어해촌,제주특별자치도 제주시 우도면 우도로 86 2층,제주특별자치도 제주시 우도면 연평리 1579번지 1호 ,63.49,064-783-0243,일식
2907,일반음식점,발리인제주,제주특별자치도 제주시 구좌읍 해맞이해안로 2326,제주특별자치도 제주시 구좌읍 종달리 572번지 10호 ,86,064-784-3396,한식
2908,일반음식점,후샵,제주특별자치도 제주시 한림읍 한림북동길 2 2층,제주특별자치도 제주시 한림읍 한림리 1315번지 5호 ,55.05,064-796-2616,호프/통닭
2909,일반음식점,신촌가든,제주특별자치도 제주시 조천읍 일주동로 784,제주특별자치도 제주시 조천읍 신촌리 647번지 5호 ,66.96,064-783-7363,한식
2910,일반음식점,포차올레,제주특별자치도 제주시 조천읍 신북로 481-9 지하1층,제주특별자치도 제주시 조천읍 함덕리 1040번지 ,301.63,064-780-4100,한식
2911,일반음식점,도토리주막집,제주특별자치도 제주시 구좌읍 세화1길 17,제주특별자치도 제주시 구좌읍 세화리 3645번지 8호 ,83.95,,호프/통닭
2912,일반음식점,함께하는밥상,제주특별자치도 제주시 한림읍 명랑로 30,제주특별자치도 제주시 한림읍 한림리 1026번지 6호 ,99.58,064-796-9217,한식
2913,일반음식점,세화바당,제주특별자치도 제주시 구좌읍 세평항로 45,제주특별자치도 제주시 구좌읍 평대리 3346번지 12호 ,109.59,064-784-0038,한식
2914,일반음식점,도민상회,제주특별자치도 제주시 한림읍 한림로3길 8,제주특별자치도 제주시 한림읍 한림리 1590번지 6호 ,240.72,064-796-7173,한식
2915,일반음식점,굽네치킨한림점,제주특별자치도 제주시 한림읍 한림로 653 (1362-3),제주특별자치도 제주시 한림읍 한림리 1365번지 1호 1362-3 ,48,064-796-9454,통닭(치킨)
2916,일반음식점,오션휴게소,제주특별자치도 제주시 애월읍 평화로 1738-116,제주특별자치도 제주시 애월읍 어음리 3914번지 ,75.69,064-798-7100,경양식
2917,일반음식점,참사랑,제주특별자치도 제주시 한림읍 한림서길 33,제주특별자치도 제주시 한림읍 한림리 1496번지 3호 ,172.59,,한식
2918,일반음식점,자연산활어,,제주특별자치도 제주시 한경면 고산리 2199-2번지 ,23.13,064-772-4464,회집
2919,일반음식점,삼거리,제주특별자치도 제주시 추자면 추자로 18,제주특별자치도 제주시 추자면 대서리 8번지 5호 ,42.85,064-742-2113,호프/통닭
2920,일반음식점,민경이네,제주특별자치도 제주시 한림읍 비양도길 275,제주특별자치도 제주시 한림읍 협재리 3030번지 외 1필지 ,35.13,064-796-8973,한식
2921,일반음식점,도향촌,제주특별자치도 제주시 한림읍 한림상로 166,제주특별자치도 제주시 한림읍 한림리 977번지 2호 ,128.73,064-796-9212,중국식
2922,일반음식점,킹앤퀸,제주특별자치도 제주시 한림읍 한림로 176-2,제주특별자치도 제주시 한림읍 금능리 1822번지 ,21.28,064-796-1595,분식
2923,일반음식점,엄가네,제주특별자치도 제주시 애월읍 일주서로 6281 1층,제주특별자치도 제주시 애월읍 애월리 562번지 2호 ,100.8,064-784-8466,한식
2924,일반음식점,우정,제주특별자치도 제주시 한림읍 한림상로 139,제주특별자치도 제주시 한림읍 한림리 951번지 9호 ,115.03,064-796-1278,한식
2925,일반음식점,빌레리조트구내식당,제주특별자치도 제주시 애월읍 고내로13길 79,제주특별자치도 제주시 애월읍 고내리 365번지 2호 ,240,064-799-2002,한식
2926,일반음식점,명리동식당,제주특별자치도 제주시 한경면 녹차분재로 498 1~2층,제주특별자치도 제주시 한경면 저지리 3136번지 1호 ,189.81,,한식
2927,일반음식점,크라운골프연습장,제주특별자치도 제주시 조천읍 북선로 125,제주특별자치도 제주시 조천읍 북촌리 산 65번지 ,48.55,064-784-5801,한식
2928,일반음식점,진드르가든,제주특별자치도 제주시 조천읍 신촌10길 41-1,제주특별자치도 제주시 조천읍 신촌리 653번지 ,55.81,064-782-6011,한식
2929,일반음식점,방림원,제주특별자치도 제주시 한경면 용금로 864 (외 5필지),제주특별자치도 제주시 한경면 저지리 2120번지 91호 외 5필지 ,179.6,,까페
2930,일반음식점,신영월갈비,제주특별자치도 제주시 구좌읍 김녕로 95,제주특별자치도 제주시 구좌읍 김녕리 2213번지 ,123.11,064-783-5060,한식
2931,일반음식점,함지박,제주특별자치도 제주시 한경면 고산로 26-1 1층,제주특별자치도 제주시 한경면 고산리 2210번지 2호 ,38.17,064-772-3333,한식
2932,일반음식점,렉스,제주특별자치도 제주시 서광로32길 16 (이도이동),제주특별자치도 제주시 이도이동 1769번지 1호 ,44.96,064-756-6800,호프/통닭
2933,일반음식점,어촌마당,제주특별자치도 제주시 은남4길 37 (연동),제주특별자치도 제주시 연동 273번지 45호 ,30.24,064-713-8292,한식
2934,일반음식점,아지매,제주특별자치도 제주시 평전1길 26 (삼도일동),제주특별자치도 제주시 삼도일동 506번지 9호 ,30.36,064-759-7770,한식
2935,일반음식점,제주해룡,제주특별자치도 제주시 번영로 476 (봉개동),제주특별자치도 제주시 봉개동 2423번지 13호 ,72.13,,식육(숯불구이)
2936,일반음식점,떡볶이대학라면학과,제주특별자치도 제주시 진군3길 27-27 (노형동),제주특별자치도 제주시 노형동 758번지 ,97.2,,탕류(보신용)
2937,일반음식점,모녀국수,제주특별자치도 제주시 오복4길 6 (이도이동),제주특별자치도 제주시 이도이동 1067번지 ,66.65,064-702-5566,한식
2938,일반음식점,애향,제주특별자치도 제주시 공설로 49 (오라일동(수영장길 71)),제주특별자치도 제주시 오라일동 2450번지 3호 (수영장길 71) ,59.28,064-702-3388,분식
2939,일반음식점,정동진조개구이,제주특별자치도 제주시 중앙로 23 (건입동),제주특별자치도 제주시 건입동 1421번지 1호 ,51.29,064-702-5004,기타
2940,일반음식점,한정원,제주특별자치도 제주시 서해안로 131 1층 (도두일동),제주특별자치도 제주시 도두일동 2541번지 ,146.67,064-742-2008,회집
2941,일반음식점,교촌치킨외도도평점,제주특별자치도 제주시 우정로15길 31 (외도일동),제주특별자치도 제주시 외도일동 550번지 9호 ,127.52,,통닭(치킨)
2942,일반음식점,엘프,제주특별자치도 제주시 연동7길 30 3층 (연동),제주특별자치도 제주시 연동 273번지 8호 ,109.75,064-748-8484,기타
2943,일반음식점,도남동태전골,제주특별자치도 제주시 광양11길 18-1 (이도이동),제주특별자치도 제주시 이도이동 1178번지 2호 ,122.56,064-755-4569,한식
2944,일반음식점,리베라떼,제주특별자치도 제주시 서사로 155 (삼도일동),제주특별자치도 제주시 삼도일동 571번지 1호 ,88.2,,까페
2945,일반음식점,한라병원장례식장,제주특별자치도 제주시 도령로 65 (연동(성신2로 15)),제주특별자치도 제주시 연동 1963번지 2호 (성신2로 15) ,195.5,064-749-3344,한식
2946,일반음식점,자순,제주특별자치도 제주시 도남로8길 6 (도남동),제주특별자치도 제주시 도남동 52번지 20호 ,36.42,064-757-4520,분식
2947,일반음식점,찜이랑국수랑,제주특별자치도 제주시 동광로6길 31 (이도이동),제주특별자치도 제주시 이도이동 1141번지 15호 ,67.99,064-757-0184,한식
2948,일반음식점,땅땅치킨동광초점,제주특별자치도 제주시 연삼로 546 (일도이동),제주특별자치도 제주시 일도이동 74번지 1호 ,50.74,064-721-5592,호프/통닭
2949,일반음식점,호남,제주특별자치도 제주시 선반로 29 (화북일동),제주특별자치도 제주시 화북일동 3859번지 ,72.86,064-755-6262,한식
2950,일반음식점,맘스터치치킨노형점,제주특별자치도 제주시 광평동로 66 (노형동(광평동로 66)중흥S크래스상가 101호),제주특별자치도 제주시 노형동 2585번지 1호 (광평동로 66)중흥S크래스상가 101호 ,29.11,064-712-2828,통닭(치킨)
2951,일반음식점,본가,제주특별자치도 제주시 도남로 101 1층 (도남동),제주특별자치도 제주시 도남동 66번지 1호 ,174.08,064-724-8588,한식
2952,일반음식점,복희,제주특별자치도 제주시 서문로 6-1 (용담일동(서문로 173)),제주특별자치도 제주시 용담일동 243번지 10호 (서문로 173) ,65.26,064-726-3382,기타
2953,일반음식점,명품치킨제주대점,제주특별자치도 제주시 산천단동3길 31 (아라일동),제주특별자치도 제주시 아라일동 368번지 15호 ,69.42,064-723-8292,통닭(치킨)
2954,일반음식점,리젠트,제주특별자치도 제주시 신대로18길 45 (연동(사장2로 75)),제주특별자치도 제주시 연동 274번지 37호 (사장2로 75) ,95,064-743-8000,경양식
2955,일반음식점,이레용담점,제주특별자치도 제주시 명신1길 4 (용담이동),제주특별자치도 제주시 용담이동 2784번지 4호 ,464.66,064-743-1161,한식
2956,일반음식점,오연,제주특별자치도 제주시 서부두남길 16-1 (건입동),제주특별자치도 제주시 건입동 1366번지 1호 ,71.44,064-752-4660,한식
2957,일반음식점,본죽중앙점,제주특별자치도 제주시 중앙로 87 (이도일동(중앙로 81)외 1필지),제주특별자치도 제주시 이도일동 1452번지 4호 (중앙로 81)외 1필지 ,48.7,064-755-6288,한식
2958,일반음식점,소울메이트,제주특별자치도 제주시 중앙로 318 (이도이동(중앙로 436)),제주특별자치도 제주시 이도이동 1026번지 12호 (중앙로 436) ,85.18,,까페
2959,일반음식점,샤브앤스끼,제주특별자치도 제주시 수덕9길 71-2 (노형동),제주특별자치도 제주시 노형동 2513번지 9호 ,93.72,,한식
2960,일반음식점,새롬신제주보쌈,제주특별자치도 제주시 광평동로 38 (노형동),제주특별자치도 제주시 노형동 2587번지 1호 ,98.8,064-712-7718,한식
2961,일반음식점,플로리안,제주특별자치도 제주시 신산로 5 1층 (일도이동),제주특별자치도 제주시 일도이동 995번지 32호 ,14.44,,기타
2962,일반음식점,쭈꾸미블루스외도점,제주특별자치도 제주시 우령2길 19-5 (외도일동),제주특별자치도 제주시 외도일동 550번지 4호 ,77.25,064-900-5727,한식
2963,일반음식점,외도다해네,제주특별자치도 제주시 우정로 51 (외도일동101호),제주특별자치도 제주시 외도일동 499번지 4호 101호 ,60.58,064-743-3336,한식
2964,일반음식점,아구의전설,제주특별자치도 제주시 구남로 40 (이도이동),제주특별자치도 제주시 이도이동 1997번지 12호 (1층) ,67.44,064-723-8383,한식
2965,일반음식점,계성,제주특별자치도 제주시 서사로 161 (오라일동),제주특별자치도 제주시 오라일동 2452번지 1호 ,54.1,064-757-1161,회집
2966,일반음식점,천복,제주특별자치도 제주시 수덕9길 4 (노형동(수덕3로6) 102호),제주특별자치도 제주시 노형동 1055번지 7호 (수덕3로6) 102호 ,48.38,064-711-9290,호프/통닭
2967,일반음식점,맵수다노형점,제주특별자치도 제주시 월랑로 48 (노형동),제주특별자치도 제주시 노형동 1042번지 19호 ,63.36,064-746-3355,호프/통닭
2968,일반음식점,삼다가,제주특별자치도 제주시 신대로9길 27 1층 (연동),제주특별자치도 제주시 연동 311번지 58호 ,166.11,064-747-4711,한식
2969,일반음식점,열열이얼큰이제원점,제주특별자치도 제주시 연동7길 31 1층 (연동),제주특별자치도 제주시 연동 273번지 32호 ,49.2,064-747-5952,호프/통닭
2970,일반음식점,바다잔치,제주특별자치도 제주시 탑동로 79 (삼도이동),제주특별자치도 제주시 삼도이동 1221번지 22호 ,261.57,064-702-8989,한식
2971,일반음식점,토대력드림2호점,제주특별자치도 제주시 서광로32길 35-1 (이도이동),제주특별자치도 제주시 이도이동 1186번지 19호 ,79.95,064-723-2332,식육(숯불구이)
2972,일반음식점,곰솔,제주특별자치도 제주시 중앙로24길 1 (삼도이동(덕성로 3)),제주특별자치도 제주시 삼도이동 1241번지 2호 (덕성로 3) ,29.82,,한식
2973,일반음식점,아맛나,제주특별자치도 제주시 다랑곶길 19 (노형동(다랑굿로 27)),제주특별자치도 제주시 노형동 1277번지 5호 (다랑굿로 27) ,44.69,,한식
2974,일반음식점,조선옥본점,제주특별자치도 제주시 원노형6길 31 (노형동),제주특별자치도 제주시 노형동 935번지 16호 ,70.06,064-755-1091,한식
2975,일반음식점,별오름,제주특별자치도 제주시 오라로 132 (오라일동),제주특별자치도 제주시 오라일동 1004번지 6호 ,233.33,064-727-5959,식육(숯불구이)
2976,일반음식점,똥파리와봉달이네연탄구이,제주특별자치도 제주시 다랑곶4길 46 (노형동),제주특별자치도 제주시 노형동 1050번지 6호 ,63.17,064-745-3192,기타
2977,일반음식점,가령골허브의향기,제주특별자치도 제주시 가령로 19 (이도이동(가령로 27)),제주특별자치도 제주시 이도이동 360번지 (가령로 27) ,146.45,064-723-7474,한식
2978,일반음식점,용,제주특별자치도 제주시 연수로4길 22 (일도이동(신천3로 13)),제주특별자치도 제주시 일도이동 57번지 6호 (신천3로 13) ,44.36,064-757-2281,식육(숯불구이)
2979,일반음식점,부산아지매집,제주특별자치도 제주시 정존1길 17 (노형동),제주특별자치도 제주시 노형동 2595번지 11호 ,83.88,064-713-4967,한식
2980,일반음식점,기본수산,제주특별자치도 제주시 전농로 46 (삼도일동(전농로 125)),제주특별자치도 제주시 삼도일동 529번지 (전농로 125) ,65.83,,한식
2981,일반음식점,뮌헨,제주특별자치도 제주시 수덕9길 48 102동 101호 (노형동대원상록수5차),제주특별자치도 제주시 노형동 2530번지 2호 대원상록수5차 102동 101호,78.04,064-747-8898,호프/통닭
2982,일반음식점,호박이넝쿨채로,제주특별자치도 제주시 신광로10길 21 (연동),제주특별자치도 제주시 연동 256번지 6호 ,79.24,064-744-4350,정종/대포집/소주방
2983,일반음식점,뜨르르,제주특별자치도 제주시 귀아랑길 13 1층 (연동),제주특별자치도 제주시 연동 310번지 13호 ,40.32,064-749-2765,한식
2984,일반음식점,24시국수회관,제주특별자치도 제주시 남성로 122-1 (삼도일동),제주특별자치도 제주시 삼도일동 797번지 8호 ,79.12,064-702-1162,한식
2985,일반음식점,부자돼지,제주특별자치도 제주시 중앙로21길 4 (이도일동(중현3로 6)),제주특별자치도 제주시 이도일동 1709번지 1호 (중현3로 6) ,43.4,,탕류(보신용)
2986,일반음식점,양푼왕갈비,제주특별자치도 제주시 선덕로 14 (연동),제주특별자치도 제주시 연동 314번지 9호 ,162.84,064-746-3663,한식
2987,일반음식점,비비큐인제점,제주특별자치도 제주시 고마로11길 4 (일도이동),제주특별자치도 제주시 일도이동 355번지 9호 ,27.01,064-756-9282,통닭(치킨)
2988,일반음식점,피쉬앤그릴앤치르치르,제주특별자치도 제주시 연동7길 35 2층 (연동),제주특별자치도 제주시 연동 273번지 35호 ,292.05,,호프/통닭
2989,일반음식점,숯불계돈,제주특별자치도 제주시 신대로16길 39 1층 (연동),제주특별자치도 제주시 연동 283번지 46호 ,131.52,064-748-1248,식육(숯불구이)
2990,일반음식점,노형호프하우스,제주특별자치도 제주시 수덕11길 34 (노형동(수덕2로 38)),제주특별자치도 제주시 노형동 2615번지 8호 (수덕2로 38) ,58.51,064-743-6002,호프/통닭
2991,일반음식점,총각네볶음요리전문점,제주특별자치도 제주시 신대로13길 18 (연동),제주특별자치도 제주시 연동 313번지 17호 ,78.53,064-721-9988,한식
2992,일반음식점,울돝,제주특별자치도 제주시 서광로32길 37 (이도이동),제주특별자치도 제주시 이도이동 1186번지 15호 ,40.86,,한식
2993,일반음식점,주곱창,제주특별자치도 제주시 노형로 365 (노형동),제주특별자치도 제주시 노형동 2535번지 8호 ,30.4,,호프/통닭
2994,일반음식점,양씨네,제주특별자치도 제주시 서광로19길 33 (삼도일동),제주특별자치도 제주시 삼도일동 538번지 16호 ,81.21,064-752-3719,식육(숯불구이)
2995,일반음식점,만금토속,제주특별자치도 제주시 도남로15길 11 (도남동(무지개1로 15)),제주특별자치도 제주시 도남동 74번지 7호 (무지개1로 15) ,54.44,064-726-1133,한식
2996,일반음식점,김명자굴국밥종합경기장점,제주특별자치도 제주시 서사로 184 (오라일동),제주특별자치도 제주시 오라일동 2451번지 6호 ,248.22,064-726-6002,한식
2997,일반음식점,베어즈,제주특별자치도 제주시 도남로 104 106호 (도남동백록아파트),제주특별자치도 제주시 도남동 64번지 백록아파트 106호,41.44,064-759-8868,호프/통닭
2998,일반음식점,미풍해장국신제주점,제주특별자치도 제주시 연동11길 15 (연동(은남3로 21)),제주특별자치도 제주시 연동 292번지 18호 (은남3로 21) ,104.79,064-749-6776,식육(숯불구이)
2999,일반음식점,보말국딱새우명가,제주특별자치도 제주시 번영로 553 (봉개동),제주특별자치도 제주시 봉개동 1385번지 ,175.96,064-725-0034,한식
3000,일반음식점,좋아좋아숯불갈비,제주특별자치도 제주시 무근성3길 9 (삼도이동(무근성2로 27)),제주특별자치도 제주시 삼도이동 1151번지 (무근성2로 27) ,85.46,064-724-5404,식육(숯불구이)
3001,일반음식점,미녀,제주특별자치도 제주시 만덕로4길 3 (건입동),제주특별자치도 제주시 건입동 1242번지 1호 ,70,064-702-6233,호프/통닭
3002,일반음식점,조은참치제주본점,제주특별자치도 제주시 고마로 148 (이도이동),제주특별자치도 제주시 이도이동 409번지 3호 ,197.09,064-727-3777,일식
3003,일반음식점,국수천국,제주특별자치도 제주시 서사로 76 (삼도일동),제주특별자치도 제주시 삼도일동 787번지 11호 ,31.8,,분식
3004,일반음식점,록향샤브샤브,제주특별자치도 제주시 수덕9길 86 (노형동),제주특별자치도 제주시 노형동 2588번지 6호 ,49.12,064-712-4479,한식
3005,일반음식점,용두암해물탕,제주특별자치도 제주시 서해안로 560 (용담삼동),제주특별자치도 제주시 용담삼동 1137번지 1호 ,57.85,064-712-7733,한식
3006,일반음식점,난타오천,제주특별자치도 제주시 고마로 123 103호 (일도이동),제주특별자치도 제주시 일도이동 48번지 5호 103호,59.6,,패스트푸드
3007,일반음식점,삼룡정,제주특별자치도 제주시 남성로 97 (용담일동),제주특별자치도 제주시 용담일동 235번지 5호 ,83.94,,한식
3008,일반음식점,복날,제주특별자치도 제주시 삼무로3길 42 1층 (연동),제주특별자치도 제주시 연동 271번지 32호 ,91.42,064-747-7985,한식
3009,일반음식점,잔치마당,제주특별자치도 제주시 오광로 16 1~2층 (이호이동),제주특별자치도 제주시 이호이동 1539번지 ,395.2,,한식
3010,일반음식점,오렌지꼬치구이삼도점,제주특별자치도 제주시 중앙로 130 (삼도이동),제주특별자치도 제주시 삼도이동 231번지 4호 ,64.78,,호프/통닭
3011,일반음식점,생돈구이촌,제주특별자치도 제주시 월랑로2길 4 1층 (노형동),제주특별자치도 제주시 노형동 1289번지 7호 ,97.95,064-747-2368,식육(숯불구이)
3012,일반음식점,차곡,제주특별자치도 제주시 문연로 5 (연동),제주특별자치도 제주시 연동 311번지 46호 ,227.08,064-710-0337,한식
3013,일반음식점,효심국수,제주특별자치도 제주시 제원길 17 (연동(연제1로 23)),제주특별자치도 제주시 연동 261번지 16호 (연제1로 23) ,48.72,064-748-5678,기타
3014,일반음식점,멕시카나연동점,제주특별자치도 제주시 은남4길 37 (연동),제주특별자치도 제주시 연동 273번지 45호 ,29.88,064-711-2222,통닭(치킨)
3015,일반음식점,생돈우리,제주특별자치도 제주시 우평로 38 1~2층 (노형동),제주특별자치도 제주시 노형동 3608번지 ,459.02,064-745-0022,한식
3016,일반음식점,천년에삼계탕,제주특별자치도 제주시 은남길 18 (연동),제주특별자치도 제주시 연동 292번지 84호 ,65.05,,식육(숯불구이)
3017,일반음식점,제주섬,제주특별자치도 제주시 월성로 2 1층 (용담이동),제주특별자치도 제주시 용담이동 745번지 ,574.05,064-742-1295,한식
3018,일반음식점,쇠막,제주특별자치도 제주시 월랑로10길 11 (노형동),제주특별자치도 제주시 노형동 1044번지 11호 ,100.24,064-744-0681,식육(숯불구이)
3019,일반음식점,애진,,제주특별자치도 제주시 이도이동 1008번지 1호 외1필지 제2호(제석사로 1) ,17.05,064-757-9800,한식
3020,일반음식점,월라촌,제주특별자치도 제주시 오남로 66 (오라일동),제주특별자치도 제주시 오라일동 981번지 8호 ,186.28,064-726-4700,한식
3021,일반음식점,영평원두막가든,제주특별자치도 제주시 영평길 185-1 (영평동),제주특별자치도 제주시 영평동 807번지 4호 ,64.48,064-727-1212,한식
3022,일반음식점,성자야소주300잔,제주특별자치도 제주시 신광로10길 22 (연동),제주특별자치도 제주시 연동 255번지 6호 ,48.2,,식육(숯불구이)
3023,일반음식점,데코보코,제주특별자치도 제주시 관덕로17길 15 (일도일동),제주특별자치도 제주시 일도일동 1210번지 ,43.31,,호프/통닭
3024,일반음식점,어군,제주특별자치도 제주시 수덕11길 40 (노형동(수덕2로 44)),제주특별자치도 제주시 노형동 2529번지 2호 (수덕2로 44) ,43.47,064-748-7715,한식
